Model_ID,Model_Name,Model_Type,Model_Version,Date,Daily_Volume,Performance_Metrics,Company_Name
1,Model 1,Multi-Class,1,4/7/2022,1218,"[0.71, 0.76, 0.81]",Nationwide
2,Model 1,Multi-Class,2,4/7/2022,1873,"[0.76, 0.81, 0.81]",Nationwide
3,Model 1,Multi-Class,3,4/7/2022,1245,"[0.78, 0.88, 0.93]",Nationwide
4,Model 1,Multi-Class,1,4/8/2022,2014,"[0.83, 0.91, 0.74]",Nationwide
5,Model 1,Multi-Class,2,4/8/2022,4559,"[0.86, 0.75, 0.89]",Nationwide
6,Model 1,Multi-Class,3,4/8/2022,4492,"[0.9, 0.81, 0.75]",Nationwide
7,Model 1,Multi-Class,1,4/9/2022,2270,"[0.81, 0.76, 0.8]",Nationwide
8,Model 1,Multi-Class,2,4/9/2022,4990,"[0.92, 0.8, 0.73]",Nationwide
9,Model 1,Multi-Class,3,4/9/2022,3276,"[0.8, 0.77, 0.86]",Nationwide
10,Model 1,Multi-Class,1,4/10/2022,2050,"[0.7, 0.91, 0.71]",Nationwide
11,Model 1,Multi-Class,2,4/10/2022,2839,"[0.92, 0.77, 0.81]",Nationwide
12,Model 1,Multi-Class,3,4/10/2022,1278,"[0.83, 0.83, 0.7]",Nationwide
13,Model 1,Multi-Class,1,4/11/2022,3603,"[0.84, 0.87, 0.78]",Nationwide
14,Model 1,Multi-Class,2,4/11/2022,3953,"[0.82, 0.9, 0.7]",Nationwide
15,Model 1,Multi-Class,3,4/11/2022,4387,"[0.94, 0.78, 0.87]",Nationwide
16,Model 1,Multi-Class,1,4/12/2022,1229,"[0.88, 0.93, 0.76]",Nationwide
17,Model 1,Multi-Class,2,4/12/2022,2061,"[0.76, 0.93, 0.81]",Nationwide
18,Model 1,Multi-Class,3,4/12/2022,3359,"[0.89, 0.81, 0.83]",Nationwide
19,Model 1,Multi-Class,1,4/13/2022,2488,"[0.76, 0.78, 0.88]",Nationwide
20,Model 1,Multi-Class,2,4/13/2022,4140,"[0.86, 0.87, 0.71]",Nationwide
21,Model 1,Multi-Class,3,4/13/2022,1676,"[0.85, 0.86, 0.73]",Nationwide
22,Model 1,Multi-Class,1,4/14/2022,4503,"[0.73, 0.76, 0.89]",Nationwide
23,Model 1,Multi-Class,2,4/14/2022,2565,"[0.76, 0.94, 0.86]",Nationwide
24,Model 1,Multi-Class,3,4/14/2022,4537,"[0.76, 0.91, 0.72]",Nationwide
25,Model 1,Multi-Class,1,4/15/2022,4737,"[0.92, 0.71, 0.92]",Nationwide
26,Model 1,Multi-Class,2,4/15/2022,4029,"[0.92, 0.92, 0.92]",Nationwide
27,Model 1,Multi-Class,3,4/15/2022,4073,"[0.76, 0.72, 0.82]",Nationwide
28,Model 1,Multi-Class,1,4/16/2022,3497,"[0.75, 0.88, 0.83]",Nationwide
29,Model 1,Multi-Class,2,4/16/2022,1174,"[0.89, 0.77, 0.77]",Nationwide
30,Model 1,Multi-Class,3,4/16/2022,3082,"[0.91, 0.81, 0.79]",Nationwide
31,Model 1,Multi-Class,1,4/17/2022,1630,"[0.83, 0.84, 0.79]",Nationwide
32,Model 1,Multi-Class,2,4/17/2022,3046,"[0.92, 0.8, 0.89]",Nationwide
33,Model 1,Multi-Class,3,4/17/2022,2106,"[0.81, 0.83, 0.75]",Nationwide
34,Model 1,Multi-Class,1,4/18/2022,1643,"[0.93, 0.84, 0.7]",Nationwide
35,Model 1,Multi-Class,2,4/18/2022,2391,"[0.85, 0.86, 0.95]",Nationwide
36,Model 1,Multi-Class,3,4/18/2022,1044,"[0.92, 0.86, 0.73]",Nationwide
37,Model 1,Multi-Class,1,4/19/2022,4138,"[0.88, 0.79, 0.91]",Nationwide
38,Model 1,Multi-Class,2,4/19/2022,3656,"[0.72, 0.83, 0.94]",Nationwide
39,Model 1,Multi-Class,3,4/19/2022,2161,"[0.71, 0.78, 0.72]",Nationwide
40,Model 1,Multi-Class,1,4/20/2022,3039,"[0.88, 0.9, 0.76]",Nationwide
41,Model 1,Multi-Class,2,4/20/2022,1379,"[0.7, 0.87, 0.79]",Nationwide
42,Model 1,Multi-Class,3,4/20/2022,1551,"[0.92, 0.82, 0.7]",Nationwide
43,Model 1,Multi-Class,1,4/21/2022,3929,"[0.85, 0.71, 0.84]",Nationwide
44,Model 1,Multi-Class,2,4/21/2022,2555,"[0.88, 0.82, 0.7]",Nationwide
45,Model 1,Multi-Class,3,4/21/2022,4638,"[0.91, 0.88, 0.93]",Nationwide
46,Model 1,Multi-Class,1,4/22/2022,2913,"[0.84, 0.84, 0.77]",Nationwide
47,Model 1,Multi-Class,2,4/22/2022,4535,"[0.72, 0.91, 0.74]",Nationwide
48,Model 1,Multi-Class,3,4/22/2022,4887,"[0.85, 0.83, 0.73]",Nationwide
49,Model 1,Multi-Class,1,4/23/2022,4617,"[0.74, 0.91, 0.74]",Nationwide
